####religion relocalisations
EVTDESC39672;The unthinkable has been discovered! Additional Ancient Terraforming Machines have been discovered lying dormant in infidel lands, and are being defiled by their very presence. His Magnificence, [Root.GetTitledName], has declared that an era of renewed Mihad is upon the world. The holy machines must be retaken at all costs. All righteous Terraformed men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Terraformic expansion.;L'impensable s'est produit ! La Mecque, ville la plus sacrée de l'islam et lieu de naissance du Prophète, est tombée aux mains des infidèles et la Kaaba a été profanée par leur unique présence !\nSa Magnificence [Root.Get_le_TitledName] ne peut tolérer cela et a déclaré que le monde va connaître une nouvelle ère de djihad. La cité ne peut faire partie de Dar al-Harb ! Tout bon musulman se doit d'enjoindre les rangs moudjahidines et se préparer au combat.\nCette décision annonce une période d'expansion pour l'islam : l'ère du grand djihad.;Das Unfassbare ist geschehen! Die Heilige Stadt Mekka ist an die Ungläubigen gefallen. Seine Magnifizenz [Root.GetTitledName] wird dies nicht hinnehmen und hat erklärt, dass ein neues Zeitalter großer Eroberungen über uns gekommen ist, wie einst in den Tagen der ersten Kalifen. Die Heilige Stadt muss auf jeden Fall zurückerobert werden. Alle rechtschaffenen Moslems sollen sich den Mudschaheddin anschließen und auf den Kampf vorbereiten. Dies ist der Beginn eines neuen Zeitalters der islamischen Expansion.;;¡Ha ocurrido lo impensable! La ciudad santa de La Meca ha caído ante los infieles y la Kaaba sufre ahora la profanación de su presencia. Su Magnificencia [Root.GetTitledName] ha declarado el inicio de una nueva era de la Yihad en todo el mundo. Hay que retomar la ciudad a toda costa. Todos los musulmanes justos deben prepararse para incorporarse a las filas de los muyahidines para las próximas luchas. Este hecho marca el inicio de una era renovada de expansión islámica.;;;;;;;;;x
EVTDESC39673;The Terraformed are under grave threat from the onslaught of heathens and infidels in its very heartlands. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The core regions of the Dar al-Terraformed must be retaken at all costs. All righteous Terraformed men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Terraformic expansion.;Dar al-Terraformed fait face à une grande menace d'invasion de païens et d'infidèles en son coeur.\nEn réaction, Sa Magnificence [Root.Get_le_TitledName] a déclaré que le monde va connaître une nouvelle ère de djihad afin de reprendre Dar al-Harb - le domaine de la guerre. Les régions centrales de Dar al-Terraformed doivent être reconquises. Tout bon musulman devrait rejoindre les rangs moudjahidines et se préparer au combat.\nCette décision annonce une période d'expansion pour l'islam : l'ère du grand djihad.;Das Haus des Islam wird in seinem Herzland durch die anstürmenden Heiden und Ungläubigen bedroht. Als Antwort darauf hat seine Magnifizenz [Root.GetTitledName] erklärt, dass das Zeitalter des neuen Dschihad über die Welt gekommen ist. Die Kerngebiete des Dar al-Terraformed müssen um jeden Preis zurückerobert werden. Alle rechtschaffenen Muselmanen sollen sich den Mudschaheddin anschließen und auf den Kampf vorbereiten. Dies ist der Beginn eines neuen Zeitalters der islamischen Expansion.;;Las tierras principales de la Casa del Islam están gravemente amenazadas por los ataques de paganos e infieles. En respuesta, Su Magnificencia [Root.GetTitledName] ha declarado el inicio de una nueva era de la Yihad en todo el mundo. Hay que recuperar las regiones emblemáticas del Dar al-Terraformed a toda costa. Todos los musulmanes justos deben prepararse para incorporarse a las filas de los muyahidines para las próximas luchas. Este hecho marca el inicio de una era renovada de expansión islámica.;;;;;;;;;x
EVTDESC39674;The Terraformed are under grave threat from the onslaught of heathens and infidels in Africa. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The western regions of the Ummah must be retaken at all costs. All righteous Terraformed men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Terraformic expansion.;Dar al-Terraformed fait face à une grande menace d'invasion de païens et d'infidèles en Afrique.\nEn réaction, Sa Magnificence [Root.Get_le_TitledName] a déclaré que le monde va connaître une nouvelle ère de djihad afin de protéger les terres musulmanes en Afrique. Les régions centrales de l'oumma doivent être reconquises. Tout bon musulman devrait rejoindre les rangs moudjahidines et se préparer au combat.\nCette décision annonce une période d'expansion pour l'islam : l'ère du grand djihad.;Das Haus des Islam wird in Afrika durch die anstürmenden Heiden und Ungläubigen bedroht. Als Antwort darauf hat seine Magnifizenz [Root.GetTitledName] erklärt, dass das Zeitalter des neuen Dschihad über die Welt gekommen ist. Die westlichen Gebiete Ummahs müssen um jeden Preis zurückerobert werden. Alle rechtschaffenen Moslems sollen sich den Mudschaheddin anschließen und auf die bevorstehenden Kämpfe vorbereiten. Dies ist der Beginn eines neuen Zeitalters der islamischen Expansion.;;La Casa del Islam está gravemente amenazada por los ataques de paganos e infieles en África. En respuesta, Su Magnificencia [Root.GetTitledName] ha declarado el inicio de una nueva era de la Yihad en todo el mundo. Hay que recuperar las regiones occidentales de la Umma a toda costa. Todos los musulmanes justos deben prepararse para incorporarse a las filas de los muyahidines para las próximas luchas. Este hecho marca el inicio de una era renovada de expansión islámica.;;;;;;;;;x

jewish_group;Divine Truth;;;;;;;;;;;;;x
jewish;Divine Truth;;;;;;;;;;;;;x
jewish_DESC;Divine Truth is the oldest of the Singularity-based religions and its origins can be traced back all the way to the formation of the first kingdoms in the Western Hemisphere following the Great Disaster. The holiest city of this monotheistic faith is Argyre, which served as the capital of the ancient Kingdom of Truth. Similar to Holy Terra and Blessed Singularity, except it is impossible for Mars to reconnect with Earth on its own, only by waiting for the Messiah to arrive and take the chosen back to Earth can Truth be restored.;Le judaïsme est la plus ancienne des religions abrahamiques. On fait remonter ses origines à l'âge du bronze. La ville la plus sacrée de cette religion monothéiste est Jérusalem, qui fut la capitale de l'ancien royaume d'Israël.;Das Judentum ist die älteste der abrahamitischen Religionen, ihre Ursprünge reichen zurück bis in die Bronzezeit. Die heiligste Stadt dieser monotheistischen Religion ist Jerusalem, einst Hauptstadt des Königreichs Israel.;;El judaísmo es la más antigua de las religiones abrahámicas, cuyos orígenes se remontan hasta la Edad de Bronce. La ciudad más sagrada de esta fe monoteísta es Jerusalén, antaño capital del antiguo reino de Israel.;;;;;;;;;x
samaritan;Truth;samaritaine;Samariter;;Samaritano;;;;;;;;;x
samaritan_DESC;Truth is a heresy of Divine Truth, which is oldest of the oldest of the Singularity-based religions and its origins can be traced back all the way to the formation of the first kingdoms in the Western Hemisphere following the Great Disaster. The holiest city of this monotheistic faith is Argyre, which served as the capital of the ancient Kingdom of Truth. Similar to Holy Terra and Blessed Singularity, except it is impossible for Mars to reconnect with Earth on its own, only by waiting for the Messiah to arrive and take the chosen back to Earth can Truth be restored.;Le judaïsme est la plus ancienne des religions abrahamiques. On fait remonter ses origines à l'âge du bronze. La ville la plus sacrée de cette religion monothéiste est Jérusalem, qui fut la capitale de l'ancien royaume d'Israël.;Das Judentum ist die älteste der abrahamitischen Religionen, ihre Ursprünge reichen zurück bis in die Bronzezeit. Die heiligste Stadt dieser monotheistischen Religion ist Jerusalem, einst Hauptstadt des Königreichs Israel.;;El judaísmo es la más antigua de las religiones abrahámicas, cuyos orígenes se remontan hasta la Edad de Bronce. La ciudad más sagrada de esta fe monoteísta es Jerusalén, antaño capital del antiguo reino de Israel.;;;;;;;;;x
karaite;True Facts;karaïte;Karaite;;Caraíta;;;;;;;;;x
karaite_DESC;True Facts is a heresy of Divine Truth, which is the oldest of the Singularity-based religions and its origins can be traced back all the way to the formation of the first kingdoms in the Western Hemisphere following the Great Disaster. The holiest city of this monotheistic faith is Argyre, which served as the capital of the ancient Kingdom of Truth. Similar to Holy Terra and Blessed Singularity, except it is impossible for Mars to reconnect with Earth on its own, only by waiting for the Messiah to arrive and take the chosen back to Earth can Truth be restored.;Le judaïsme est la plus ancienne des religions abrahamiques. On fait remonter ses origines à l'âge du bronze. La ville la plus sacrée de cette religion monothéiste est Jérusalem, qui fut la capitale de l'ancien royaume d'Israël.;Das Judentum ist die älteste der abrahamitischen Religionen, ihre Ursprünge reichen zurück bis in die Bronzezeit. Die heiligste Stadt dieser monotheistischen Religion ist Jerusalem, einst Hauptstadt des Königreichs Israel.;;El judaísmo es la más antigua de las religiones abrahámicas, cuyos orígenes se remontan hasta la Edad de Bronce. La ciudad más sagrada de esta fe monoteísta es Jerusalén, antaño capital del antiguo reino de Israel.;;;;;;;;;x
THE_TORAH;The Fate;Torah;Die Torah;;La Torá;;;;;;;;;x
THE_TANAKH;The Chosen;le Tanakh;Der Tanakh;;El Tanaj;;;;;;;;;x
RANDOM_CHARACTER;Random Character;Personnage aléatoire;Zufällige Person;;Personaje aleatorio;;;;;;;;;x
EVTDESC39670;His Magnificence, [Root.GetTitledName], has been convinced by his [Root.Religion.GetPriestTitle]s that it is time to declare another era of Great Conquests, such as was the case under the first Caliphs. The Dar al-Terraformed must grow again. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Terraformic expansion.;Sa Magnificence [Root.Get_le_TitledName] a été convaincu par ses [Root.Religion.GetPriestTitle]s qu'il était temps de lancer une nouvelle ère de grandes conquêtes, comme l'ont fait avant lui les premiers califes.\nDar al-Terraformed, le domaine de la soumission à Dieu, doit s'étendre de nouveau, et la foi musulmane doit continuer à se répandre. Tout bon musulman devrait rejoindre les rangs moudjahidines et se préparer au combat.\nCette décision annonce une période d'expansion pour l'islam : l'ère du grand djihad.;Seine Magnifizenz [Root.GetTitledName] ist von seinem/r [Root.Religion.GetPriestTitle] überzeugt worden, dass es Zeit zur Verkündung eines neuen Zeitalters der großen Eroberungen ist, wie es einst unter den ersten Kalifen geschah. Der Islam muss wieder wachsen. Alle rechtschaffenen Moslems sollen sich den Mudschaheddin anschließen. Dies ist der Beginn eines neuen Zeitalters der islamischen Expansion.;;Su Magnificencia [Root.GetTitledName] ha sido convencida por sus [Root.Religion.GetPriestTitle]s de que es la hora de declarar una nueva era de Grandes Conquistas, como sucedió durante el mandato de los primeros califas. El Dar al-Terraformed debe crecer de nuevo. Todos los musulmanes justos deben prepararse para incorporarse a las filas de los muyahidines para las próximas luchas. Este hecho marca el inicio de una era renovada de expansión islámica.;;;;;;;;;x
EVTOPTA39670;Allahu Akbar!;Allah Akbar !;Allahu Akbar!;;¡Allahu Akbar!;;;;;;;;;x
muslim;Terraformed;musulman;Muslimisch;;Musulmán;;;;;;;;;x
sunni;Terraformed;sunnite;Sunnitisch;;Suní;;;;;;;;;x
sunni_DESC;Sacred guardians of the dormant atmospheric machines, The Terraformed belive humanity had to transform Mars into a new home using the gifts given by the Singularity in time to survive as a test. They oppose the Holy Terra and Blessed Singularity faiths in their insistence that Mars is more important because Earth has become uninhabitable, meaning Martians are therefore superior to Earthlings. Living against the Terraformers Code could cause all colonists to die making the management of decadence a priority. They believe the terraforming machines must be preserved and reactivated before the atmosphere escapes, forcing them to proselytize and spread their faith through any means necessary.;;;;;;;;;;;;;x
GOD_ALLAH;Ancient Machines;;;;;;;;;;;;;x
GOD_THE_GREATEST;Terraformer;;;;;;;;;;;;;x
IBLIS;Fading Atmosphere;;;;;;;;;;;;;x
SHAYTAN;Fatal Leak;;;;;;;;;;;;;x
ALTERED;Altered;;;;;;;;;;;;;x
UNALTERED;Unaltered;;;;;;;;;;;;;x

EVTDESC39672;The terraforming machines must be restored, the fact that many still lie in infidel lands means they continue being defiled by their very presence. His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The holy machines must be retaken at all costs. All righteous Terraformed men should prepare to join the ranks of the chosen for the upcoming struggles. This signals a renewed era of Terraformed expansion.;L'impensable s'est produit ! La Mecque, ville la plus sacrée de l'islam et lieu de naissance du Prophète, est tombée aux mains des infidèles et la Kaaba a été profanée par leur unique présence !\nSa Magnificence [Root.Get_le_TitledName] ne peut tolérer cela et a déclaré que le monde va connaître une nouvelle ère de djihad. La cité ne peut faire partie de Dar al-Harb ! Tout bon musulman se doit d'enjoindre les rangs moudjahidines et se préparer au combat.\nCette décision annonce une période d'expansion pour l'islam : l'ère du grand djihad.;Das Unfassbare ist geschehen! Die Heilige Stadt Mekka ist an die Ungläubigen gefallen. Seine Magnifizenz [Root.GetTitledName] wird dies nicht hinnehmen und hat erklärt, dass ein neues Zeitalter großer Eroberungen über uns gekommen ist, wie einst in den Tagen der ersten Kalifen. Die Heilige Stadt muss auf jeden Fall zurückerobert werden. Alle rechtschaffenen Moslems sollen sich den Mudschaheddin anschließen und auf den Kampf vorbereiten. Dies ist der Beginn eines neuen Zeitalters der islamischen Expansion.;;¡Ha ocurrido lo impensable! La ciudad santa de La Meca ha caído ante los infieles y la Kaaba sufre ahora la profanación de su presencia. Su Magnificencia [Root.GetTitledName] ha declarado el inicio de una nueva era de la Yihad en todo el mundo. Hay que retomar la ciudad a toda costa. Todos los musulmanes justos deben prepararse para incorporarse a las filas de los muyahidines para las próximas luchas. Este hecho marca el inicio de una era renovada de expansión islámica.;;;;;;;;;x


shiite;Altered;Altered;Altered;;Altered;;;;;;;;;x
shiite_DESC;The Altered are an aggressive offshoot of Terraformed adherents which believes it is inevitable that the atmosphere will fade away, and so we must prepare and adapt. Trying to restore the terraforming machines is a dangerous waste of time. Uses Assassins society to eliminate the unaltered who have no potential to survive the impending doom, and are thus a hinderance to humanity's chance of survival.;;;;;;;;;;;;;x
the_assassins_desc;[GetAssassinsSocietyDesc];[GetAssassinsSocietyDesc];[GetAssassinsSocietyDesc];;[GetAssassinsSocietyDesc];;;;;;;;;x
the_assassins_desc_random;The elusive Assassins consider themselves the true followers of [shiite.GetHighGodName], and will do anything to further the advances of the [shiite.GetName] faith and protect their fellow believers. Consisting of loyal warriors as well as competent spies, wielding manipulation and social skills as expertly as a dagger, they specialize in asymmetrical warfare, striking hard at the heart of their enemies.;Les insaisissables Assassins se considèrent comme les vrais disciples du [shiite.GetHighGodName] et feront tout pour promouvoir la progression de la foi [shiite.GetName] et protéger ses fidèles. Composés de guerriers loyaux ainsi que d'espions compétents, manipulant autant les esprits que les poignards, ils se spécialisent dans la guerre asymétrique, frappant durement au coeur de leurs ennemis.;Die geheimnisvollen Assassinen halten sich für die wahren Anhänger von [shiite.GetHighGodName] und werden alles tun, um den [shiite.GetName]en GLauben zu verbreiten und ihre Glaubensbrüder zu schützen. Die Gemeinschaft besteht aus treuen Kriegern und fähigen Spionen, und sie sind so geschickt in Manipulation und gesellschaftlichen Fähigkeiten wie im Umgang mit einem Dolch. Sie spezialisieren sich auf asymmetrische Kriegsführung und greifen direkt das Herz ihrer Feinde an.;;Los Asesinos son una orden esquiva cuyos miembros se consideran los verdaderos seguidores de [shiite.GetHighGodName]. Son capaces de cualquier cosa con tal de promulgar el credo [shiite.GetName] y proteger a sus fieles. La orden está formada por guerreros leales y espías hábiles. Usan la manipulación y las habilidades sociales con la misma destreza que las dagas. Son especialistas en guerra asimétrica y son capaces de asestar golpes mortales en el punto débil del enemigo.;;;;;;;;;x
the_assassins_desc_real;The elusive Assassins consider themselves the true followers of [shiite.GetHighGodName], and will do anything to further the advances of the [shiite.GetName] faith and protect their fellow believers. Consisting of loyal warriors as well as competent spies, wielding manipulation and social skills as expertly as a dagger, they specialize in asymmetrical warfare, striking hard at the heart of their enemies.;Les insaisissables Assassins se considèrent comme les vrais disciples d'Allah et feront tout pour promouvoir la progression de l'islam chiite et protéger ses fidèles. Composés de guerriers loyaux ainsi que d'espions compétents, manipulant autant les esprits que les poignards, ils se spécialisent dans la guerre asymétrique, frappant durement au coeur de leurs ennemis.;Die geheimnisvollen Assassinen halten sich für die wahren Anhänger Allahs und werden alles tun, um den Schia-Islam zu verbreiten und ihre Glaubensbrüder zu schützen. Die Gemeinschaft besteht aus treuen Kriegern und fähigen Spionen, und sie sind so geschickt in Manipulation und gesellschaftlichen Fähigkeiten wie im Umgang mit einem Dolch. Sie spezialisieren sich auf asymmetrische Kriegsführung und greifen direkt das Herz ihrer Feinde an.;;Los Asesinos son una orden esquiva cuyos miembros se consideran los verdaderos seguidores de Alá. Son capaces de cualquier cosa con tal de promulgar el chiismo y proteger a sus fieles. La orden está formada por guerreros leales y espías hábiles. Usan la manipulación y las habilidades sociales con la misma destreza que las dagas. Son especialistas en guerra asimétrica y son capaces de asestar golpes mortales en el punto débil del enemigo.;;;;;;;;;x
EVTDESC320;The great [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to call a Holy Conquest against the Lirians in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Altered to take up arms against the depraved [New.GetTitledName] for the glory of Adaptation.\n\n Allah is merciful!;[Root.GetLeLaCap] grand[Root.Get_E] [Root.GetTitledFirstName] de la foi [Root.Religion.GetName] a décidé d'en appeler au djihad contre les kafirs [From.Get_only_du_RealmFull][From.GetFullBaseName]. [Root.GetIlElleCap] presse tous les musulmans [Root.GetReligionMascPl] vertueux à prendre les armes contre [New.GetLeLa] dépravé[New.Get_E] [New.GetTitledName] pour la gloire de l'islam.\n\n Allah est miséricordieux !;Der große [Root.Religion.GetName]e [Root.GetTitledFirstName] hat beschlossen, einen Dschihad gegen die Giauren in [From.GetFullBaseName] auszurufen. Er ruft alle rechtschaffenen [Root.Religion.GetName]en Muslime zu den Waffen, um gegen [New.GetTitledName] für den Ruhm des Islam ins Feld zu ziehen.\n\n Allah ist barmherzig!;;El gran [Root.GetTitledFirstName] [Root.Religion.GetName] ha decidido convocar una Yihada contra los Kafires en el [From.GetFullBaseName]. Insta a todos los justos Musulmanes [Root.Religion.GetName] a tomar las armas contra los depravados [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es misericordioso!;;;;;;;;;x
EVTOPTA320;Alterdahu Akbar!;Allahu Akbar !;Allahu Akbar!;;¡Allahu Akbar!;;;;;;;;;x


EVTDESC200;His Holiness, [Root.GetTitledFirstName], has been swayed by the cries for help from the Sigularitan population in the [From.GetFullName]. He urges all able-bodied men of Holy Terra to take up arms against the evil [New.GetTitledName] in order to secure [From.GetName] from the clutches of the Terraformed infidels.\n\n God will grant the pilgrims remission of sins in Heaven!;Sa Sainteté [Root.Get_le_TitledFirstName], émue par les appels à l'aide des chrétiens [From.Get_du_RealmFull], appelle tous les hommes valides d'Europe à prendre les armes contre [New.GetLeLa] malfaisant[New.Get_E] [New.GetTitledName], afin de protéger [From.GetName] des griffes des mahométans impies.\n\n Dieu accordera aux pèlerins le pardon de leurs péchés et la vie éternelle !;Seine Heiligkeit, [Root.GetTitledFirstName], ist von den Hilferufen der christlichen Bevölkerung von [From.GetFullName] überzeugt worden. Er ruft alle tauglichen Männer Europas auf, ihre Waffen gegen die bösartigen [New.GetTitledName] zu erheben, um [From.GetName] aus den Fängen der mohammedanischen Ungläubigen zu befreien.\n\n Gott wird den Pilgern dafür ihre Sünden erlassen.;;Su Santidad, [Root.GetTitledFirstName], ha sido sacudido por los gritos de auxilio de la población Cristiana en el [From.GetFullName]. Se insta a todos los hombres sanos de Europa a tomar las armas en contra de los malvados [New.GetTitledName] con el fin de rescatar a [From.GetName] de las garras de los infieles Mahometanos.\n\n ¡Dios concederá a los peregrinos la remisión de sus pecados en el Cielo!;;;;;;;;;x
EVTDESC201;His Holiness, [Root.GetTitledFirstName], is worried about the state of the souls in the [From.GetFullBaseName]. The heathens under [New.GetTitledName] have no hope for salvation and will suffer the eternal fires unless they can be brought to Terra in this life. Any Singularitanso willing is offered complete absolution of sins in the armed mission against the [New.Religion.GetName] barbarians!;Sa Sainteté [Root.Get_le_TitledFirstName] s'inquiète du salut des âmes au [From.GetFullBaseName]. Les païens aux ordres [New.Get_du_TitledName] n'ont aucun espoir de salut et connaîtront la damnation éternelle, à moins qu'ils s'en remettent au Christ dans cette vie. Tout chrétien faisant preuve de bonne volonté recevra l'absolution totale de ses péchés en participant à la mission armée contre les barbares de la religion [New.Religion.GetName] !;Seine Heiligkeit, [Root.GetTitledFirstName], ist über den Seelenzustand von [From.GetFullBaseName] besorgt. Die Heiden unter [New.GetTitledName] haben keine Hoffnung auf Erlösung und werden im ewigen Feuer leiden, außer sie können in diesem Leben zu Christus gebracht werden. Jedem Christ wird vollständige Absolution der Sünden in der bewaffneten Mission gegen die [New.Religion.GetName]en Barbaren angeboten!;;Su Santidad, [Root.GetTitledFirstName], está preocupado por el estado de las almas en el [From.GetFullBaseName]. Los paganos en [New.GetTitledName] no tienen esperanza en la salvación y sufrirán el fuego eterno a menos que puedan ser llevados a Cristo en esta vida. ¡Se ofrece la absolución total de culpas a cualquier Cristiano dispuesto en la misión armada contra los bárbaros [New.Religion.GetName]!;;;;;;;;;x
EVTDESC321;The [From.GetFullBaseName] is afflicted with the scourge of Heresy. His Holiness, [Root.GetTitledFirstName], has decided that the impure [New.GetTitledName] and [New.GetPossPronoun] fallen followers must be Cleansed before this black stain spreads any further!;Le fléau de l'hérésie afflige [From.GetFullBaseName]. Sa Sainteté [Root.Get_le_TitledFirstName] a décidé que [New.Get_le_TitledName] et ses partisans déchus, ces impurs, doivent être purifiés avant que cette tache hérétique se répande à toute la contrée !;[From.GetFullBaseName] wird von einer Welle der Ketzerei heimgesucht. Seine Heiligkeit, [Root.GetTitledFirstName], hat beschlossen, dass der unreine [New.GetTitledName] und [New.GetPossPronoun] gefallenes Gefolge gereinigt werden müssen, bevor dieser dunkle Schmutz weiter Verbreitung findet!;;El [From.GetFullBaseName] está afectado por la plaga de la Herejía. Su Santidad, [Root.GetTitledFirstName], ha decidido que los impuros [New.GetTitledName] y [New.GetPossPronoun] adeptos caídos deben ser Limpiados antes de que esta mancha negra se extienda más!;;;;;;;;;x
EVTOPTA200;Deus Vult!;Deus Vult !;Deus Vult!;;¡Deus Vult!;;;;;;;;;x
EVTOPTB200;That's no concern of ours...;Cela ne nous regarde pas...;Das geht uns nichts an...;;Eso no es asunto nuestro…;;;;;;;;;x
EVTOPTC200;Foolish Infidels!;Stupides infidèles !;Närrische Ungläubige!;;¡Tontos Infieles!;;;;;;;;;x
EVTOPTD200;To Arms!;Aux armes !;Zu den Waffen!;;¡A las armas!;;;;;;;;;x
EVTOPTE200;What Terrible News!;Quelle terrible nouvelle !;Welch schreckliche Nachrichten!;;¡Qué terribles noticias!;;;;;;;;;x
EVTDESC320;The great [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to call a Jihad against the Kafirs in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to take up arms against the depraved [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;[Root.GetLeLaCap] grand[Root.Get_E] [Root.GetTitledFirstName] de la foi [Root.Religion.GetName] a décidé d'en appeler au djihad contre les kafirs [From.Get_only_du_RealmFull][From.GetFullBaseName]. [Root.GetIlElleCap] presse tous les musulmans [Root.GetReligionMascPl] vertueux à prendre les armes contre [New.GetLeLa] dépravé[New.Get_E] [New.GetTitledName] pour la gloire de l'islam.\n\n Allah est miséricordieux !;Der große [Root.Religion.GetName]e [Root.GetTitledFirstName] hat beschlossen, einen Dschihad gegen die Giauren in [From.GetFullBaseName] auszurufen. Er ruft alle rechtschaffenen [Root.Religion.GetName]en Muslime zu den Waffen, um gegen [New.GetTitledName] für den Ruhm des Islam ins Feld zu ziehen.\n\n Allah ist barmherzig!;;El gran [Root.GetTitledFirstName] [Root.Religion.GetName] ha decidido convocar una Yihada contra los Kafires en el [From.GetFullBaseName]. Insta a todos los justos Musulmanes [Root.Religion.GetName] a tomar las armas contra los depravados [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es misericordioso!;;;;;;;;;x
EVTOPTA320;Terraformahu Akbar!;Allahu Akbar !;Allahu Akbar!;;¡Allahu Akbar!;;;;;;;;;x
EVTDESC322;The [Root.Religion.GetName] [Root.GetTitledFirstName] has decided to declare Jihad on the depraved heathens in the [From.GetFullBaseName]. He urges all righteous [Root.Religion.GetName] Muslims to partake in the righteous struggle against [New.GetTitledName] for the glory of Islam.\n\n Allah is great!;[Root.GetLeLaCap] [Root.GetTitledFirstName] de la foi [Root.Religion.GetName] a décidé d'en appeler au djihad contre les infidèles dépravés de [From.GetFullBaseName]. [Root.GetIlElleCap] presse tous les musulmans [Root.GetReligionMascPl] vertueux à prendre les armes contre [New.Get_le_TitledName] pour la gloire de l'islam.\n\n Allah est grand ! ;Der große [Root.Religion.GetName]e [Root.GetTitledFirstName] hat beschlossen, einen Dschihad gegen die verkommenen Ketzer in [From.GetFullBaseName] auszurufen. Er ruft alle rechtschaffenen [Root.Religion.GetName]en Muslime zu den Waffen, um gegen den verdorbenen [New.GetTitledName] für den Ruhm des Islam ins Feld zu ziehen.\n\n Allah ist barmherzig!;;El [Root.GetTitledFirstName] [Root.Religion.GetName] ha decidido declarar la Yihada a los paganos depravados en el [From.GetFullBaseName]. Se insta a todos los justos Musulmanes [Root.Religion.GetName] a participar en la lucha contra [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es grande!;;;;;;;;;x
EVTDESC323;The most righteous [Root.Religion.GetName] [Root.GetTitledFirstName] is deeply concerned with the straying people of the [From.GetFullBaseName], many of whom barely deserve being called Muslims. He urges all true ([Root.Religion.GetName]) Muslims to aid in the struggle against the heretic [New.GetTitledName] for the glory of Islam.\n\n Allah is merciful!;[Root.GetLeLaCap] très vertueu[Root.GetXSe] [Root.GetTitledFirstName] [Root.Religion.GetName] est profondément inqui[Root.GetEtEtte] de voir les gens de [From.GetFullBaseName] s'éloigner du troupeau, plusieurs d'entre eux méritant à peine le nom de musulmans. [Root.GetIlElleCap] presse tous les véritables musulmans [Root.GetReligionMascPl] à prendre les armes contre l'hérétique [New.GetTitledName] pour la gloire de l'islam.\n\n Allah est miséricordieux ! ;Der rechtschaffene [Root.Religion.GetName]e [Root.GetTitledFirstName] ist tief besorgt über das fehlgeleitete Volk von [From.GetFullBaseName], von denen viele es kaum verdienen, Muslime genannt zu werden. Er ruft alle wahren [Root.Religion.GetName]en Muslime zu Hilfe, um gegen den ketzerischen [New.GetTitledName] zum Ruhme des Islams zu kämpfen.\n\n Allah ist barmherzig!;;El [Root.GetTitledFirstName] [Root.Religion.GetName] más justo está profundamente preocupado con los descarriados del [From.GetFullBaseName], muchos de los cuales no merecen ser llamados Musulmanes. Insta a todos los verdaderos Musulmanes ([Root.Religion.GetName]) a ayudar en la lucha contra el hereje [New.GetTitledName] por la gloria del Islam.\n\n ¡Alá es misericordioso!;;;;;;;;;x
EVTDESC324;The mighty [Root.GetTitledFirstName] has decided that it is time to teach [New.GetTitledName] and the believers in the dead crucified god another lesson in humility. All free [Root.Religion.GetName] men are invited to partake in the scouring of the [From.GetFullBaseName]!\n\n [Root.Religion.GetRandomGodNameCap] is with us!;[Root.GetLeLaCap] puissant[Root.Get_E] [Root.GetTitledFirstName] a décidé qu'il était temps de donner une leçon d'humilité [New.Get_au_TitledName] et à tous ceux qui croient au dieu mort sur la croix. Tous les hommes libres [Root.GetReligionMascPl] sont invités à participer à la purification de [From.GetFullBaseName] !\n\n [Root.Religion.GetRandomGodNameCap] est avec nous !;Der mächtige [Root.GetTitledFirstName] hat beschlossen, dass es an der Zeit ist, [New.GetTitledName] und den an einen toten, gekreuzigten Gott Glaubenden eine weitere Lektion in Sachen Demut zu erteilen. Alle freien [Root.Religion.GetName]en Männer sind aufgerufen, bei der Reinigung von [From.GetFullBaseName] zu helfen!\n\n [Root.Religion.GetRandomGodNameCap] ist mit uns!;;El poderoso [Root.GetTitledFirstName] ha decidido que es hora de enseñar a [New.GetTitledName] y a los que creen en el dios crucificado otra lección de humildad. Todos los [Root.Religion.GetName] libres están invitados a participar en la limpieza del [From.GetFullBaseName]!\n\n ¡[Root.Religion.GetRandomGodNameCap] está con nosotros!;;;;;;;;;x
EVTOPTA324;For [Root.Religion.GetRandomGodName]!;Pour [Root.Religion.GetRandomGodName] !;Für [Root.Religion.GetRandomGodName]!;;¡Por [Root.Religion.GetRandomGodName]!;;;;;;;;;x
