EVTDESCTRAYAR1;The training yard is the perfect place to improve your martial ability.;Le terrain d'exercice est le lieu idéal pour améliorer vos capacités martiales.;Der Übungsplatz ist der perfekte Ort, um Eure Kamfkünste zu verbessern.;;La palestra es el lugar idoneo para entrenar.;;;;;;;;;x
EVTDESCEDUIMP5;Due to recent events, your tutor can no longer continue teaching you the ways of an effective diplomat. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous enseigner les astuces pour devenir un diplomate efficace. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter in den Wegen der wirkungsvollen Diplomatie unterrichten. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguirte enseñando los caminos de un diplomático eficaz. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin orientación. Tus estudios han terminado por el momento.;;;;;;;;;x
eduimp5opt;Unfortunate. ;C'est regrettable...;Beklagenswert …;;Lamentable.;;;;;;;;;x
EVTDESCEDUIMP7;[From.GetFirstName] has never been a particularly pleasant character, but [From.GetHerHis] explanation of human behaviors and nature opens your eyes to the lies and deceit circling about you at court. Furthermore, you begin to learn about the deadliest poisons and surefire ways to cover up a murder or an accident... all to protect yourself, of course.;[From.GetFirstName] n'a jamais semblé posséder un caractère plaisant, mais ses explications sur les comportements humains et leur nature révèlent les mensonges et tromperies circulant au sein de la cour. De plus, vous commencez à en apprendre davantage sur les poisons les plus mortels et les moyens infaillibles pour se prémunir des conséquences d'un assassinat ou accident... dans le but de vous protéger, bien évidemment.;[From.GetFirstName] hatte zwar nie eine besonders angenehme Persönlichkeit, aber [From.GetHerHis]e Erläuterungen des menschlichen Wesens und Verhaltens, öffnen Euch die Augen für die Lügen und Täuschungen, die auf dem Hofe kursieren. Darüber hinaus beginnt Ihr, mehr über die tödlichsten Gifte zu erfahren und lernt todsichere Möglichkeiten, einen Mord oder einen Unfall zu vertuschen ... alles um Euch selbst zu schützen, versteht sich.;;[From.GetFirstName] nunca ha sido un personaje particularmente agradable, pero la explicación de [From.GetHerHis] acerca de los comportamientos humanos y la naturaleza te abre los ojos a las mentiras y engaños que circundan tu corte. Además, comienzas a aprender acerca de los venenos más mortales y las maneras de éxito seguro para encubrir un asesinato o un accidente ... todo para protegerse, por supuesto..;;;;;;;;;x
eduimp7opt;No one will ever be able to hurt me! ;Personne ne pourra jamais plus me faire du mal !;Niemand wird je in der Lage sein, mir etwas zuleide zu tun.;;¡Nadie va a ser capaz de hacerme daño!.;;;;;;;;;x
EVTDESCEDUIMP9;After months of firm counsel and guidance from [From.GetFirstName], you see through the lies of your courtiers and vassals with ease. You have an ear on all the latest gossip and people do not even blink without your knowing of it. ;Après des mois de fermes conseils dispensé par [From.GetFirstName], vous voyez au travers des mensonges de vous courtisans et de vos vassaux aisément. Votre oreille est à l'affût des toutes dernières rumeurs et personne ne se doute de ce que vous savez.;Nach Monaten der Beratung und Anleitung von [From.GetFirstName], durchschaut Ihr die Lügen der Höflinge und Vasallen mit Leichtigkeit. Ihr habt immer ein offenes Ohr für das neueste Gemunkel und die Leute können nicht einmal blinzeln, ohne dass Ihr davon erfahrt.;;Después de meses de firme consejo y guía por parte de [From.GetFirstName], ves através de las mentiras de tus cortesanos y vasallos con mayor facilidad. Tienes un oído en todos los últimos chismes y la gente ni siquiera puede parpadear sin que tu sepas de ello.;;;;;;;;;x
eduimp9opt;No secret whispered will ever escape me! ;Aucun secret ni murmure ne m'échappera !;Kein Geheimnis wird mir jemals entgehen.;;¡Ningún secreto ni susurró se me escapara!.;;;;;;;;;x
EVTDESCEDUIMP10;Due to recent events, your tutor can no longer continue guiding you in the ways of the shadows. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous guider sur le chemin des ombres. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer Euch nicht mehr weiter auf den Pfaden der Schatten anleiten. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguirte guiando en el camino de las sombras. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x
eduimp10opt;I will one day no longer fear the dark. ;Un jour, je ne craindrai plus l'obscurité.;Eines Tages werde ich die Dunkelheit nicht mehr fürchten.;;¡Algun día no voy más a temer a la oscuridad!.;;;;;;;;;x
EVTDESCEDUIMP12;The first order of business is to send men throughout your demesne to compile a full account of everything you own in your estates. It is almost staggering to comprehend that you have that much to begin with, but [From.GetFirstName] insists that you account for every acre of land you own. ;Le premier ordre du jour est d'envoyer vos hommes aux quatres coins de votre domaine pour compiler et référencer la totalité de vos possessions. Il est difficile d'appréhender que vous possèdiez autant au début, mais [From.GetFirstName] insiste pour consigner chaque acre de terre en votre possession.;Eure erste Aufgabe ist es, Männer in alle Bereiche Eures Reiches zu entsenden, um einen vollständigen Bericht über all Eure Besitztümer zusammenzustellen. Es ist eine niederschmetternd große Aufgabe für den Anfang, aber [From.GetFirstName] besteht darauf, dass Ihr jeden einzelnen Hektar Land, den Ihr Euer Eigen nennt, erfasst.;;La primera orden del día es el envío de los hombres a lo largo de tu heredad para compilar un informe completo de todo lo que posees en tus fincas. Es casi asombroso comprender que tienes mucho para empezar, pero [From.GetFirstName] insiste en que tu lleves la cuenta de cada acre de tierra de tu propiedad.;;;;;;;;;x
eduimp12opt;So that's where all the taxes were hiding... ;Oh, c'est donc de là que viennent les taxes...;Ach, daher kommen also all diese Steuern …;;Así que ahí es donde todos los impuestos se escondían ...;;;;;;;;;x
EVTDESCEDUIMP14;After months of firm counsel and guidance from [From.GetFirstName], you have gained the knowledge necessary to manage the realm more efficiently. This means that the quality of life and happiness of your people has improved, but the only thing that really matters is that tax revenues have increased significantly. ;Après des mois de nobles mais fermes conseils dispensé par [From.GetFirstName], vous avez acquis les connaissances nécessaires pour gérer votre domaine plus efficacement. Cela signifie que la qualité de vie et le bonheur de vos sujets s'est améliorée, mais la seule chose qui importe vraiment, c'est l'augmentation significative des recettes fiscales.;Nach Monaten der Beratung und Anleitung von [From.GetFirstName], habt Ihr Euch das Wissen angeeignet, um Euer Reich noch wirkungsvoller zu verwalten. Das bedeutet, dass sich die Zufriedenheit Eurers Volkes verbessert und sich Eure Steuereinnahmen erheblich erhöht haben. Was könnte wichtiger sein?;;Después de meses de consejo y de firme orientación de [From.GetFirstName],has adquirido los conocimientos necesarios para administrar el reino de manera más eficiente. Esto significa que la calidad de vida y la felicidad de tu gente han mejorado, pero la única cosa que realmente importa es que los ingresos fiscales se han incrementado significativamente.;;;;;;;;;x
eduimp14opt;I had no idea I could have this much gold! ;Je n'avais aucune idée que je pourrais obtenir autant d'or !;Ich wusste nicht, dass ich so viel Gold haben könnte.;;¡No tenía idea de que podía tener esta cantidad de oro!.;;;;;;;;;x
EVTDESCEDUIMP15;Due to recent events, your tutor can no longer continue developing your administrative abilities. Although you have learned much, there is much more that you cannot understand without further guidance. Your studies have been terminated for the time being.;Au vu des récents événements, votre tuteur ne peut plus continuer à vous aider à comprendre les rouages administratifs. Bien que vous ayez beaucoup appris, il y a bien plus encore que vous ne pouvez comprendre sans autres conseils. Vos études ont pris fin pour le moment.;Aus aktuellem Anlass kann Euer Lehrer sich Euren Verwaltungsfähigkeiten nicht mehr weiter widmen. Obwohl Ihr einiges gelernt habt, gibt es doch viel mehr, dass Ihr nicht ohne weitere Anleitung zu verstehen vermögt. Eure Studien sind vorerst beendet.;;Debido a los recientes acontecimientos, tu tutor ya no puede seguir desarrollando tus habilidades administrativas. A pesar de que has aprendido mucho, hay mucho más que no se puede entender sin mayor orientación. Tus estudios se han terminado por el momento.;;;;;;;;;x

ca_training_yard_desc;The training yard is equipped with all sorts of dummies and an archery range. It is the perfect place to develop and refine your martial skills.;Le terrain d'exercice est équipé de toutes sortes de mannequins et d'un pas de tir à l'arc. C'est l'endroit idéal pour développer et affiner vos compétences martiales.;Der Übungsplatz ist mit allen erdenklichen Übungspuppen und einem Bogenschießstand ausgerüstet. Es ist der perfekte Ort um Eure Kampfkünste zu entwickeln und zu verfeinern.;;La palestra está equipada con toda clase de muñecos y un campo de tiro. Es el lugar perfecto para desarrollar y perfeccionar las habilidades marciales.;;;;;;;;;x
ca_training_yard;Personal Training Yard;Terrain d'exercice personel;Persönlicher Übungsplatz;;Palestra personal.;;;;;;;;;x
studied_war;Studied the Art of War;Étudier l'art de la guerre.;Hat Kriegskünste studiert;;Estudiar el arte de la guerra.;;;;;;;;;x
training_yard_pos;Allowed to use Training Yard;Accès autorisé au terrain d'exercice.;Darf Übungsplatz nutzen;;Puedes usar la palestra.;;;;;;;;;x
training_yard_neg;Denied use of Training Yard;Accès refusé au terrain d'exercice.;Darf Übungsplatz nicht nutzen;;No puedes usar la palestra.;;;;;;;;;x
ca_chapel;Chapel;Chapelle;Kapelle;;Capilla.;;;;;;;;;x
fp_chapel;Chapel;Chapelle;Kapelle;;Capilla.;;;;;;;;;x
ca_chapel_desc;A small chapel within your castle walls.;Une petite chapelle au sein de votre château.;Eine kleine Kapelle innerhalb Eurer Burgmauern.;;Una pequeña capilla dentro de las murallas del castillo.;;;;;;;;;x
fp_chapel_desc;A small chapel within your palace.;Une petite chapelle au sein de votre palais.;Eine kleine Kapelle im Inneren Eures Palastes.;;Una pequeña capilla dentro de el Palacio.;;;;;;;;;x

ca_chapel_2;Royal Chapel;Chapelle Royale;Königliche Kapelle;;Capilla Real.;;;;;;;;;x
ca_chapel_2_desc;Although not much in terms of space, the chapel offers a spiritual refuge for a ruler to pray and meditate as needed. The walls are ornately decorated with images of the great figures of the faith, ever watchful over the souls that pray here. §GThe Royal Chapel grants +1 learning for the realm's lord spiritual.§!;Bien que petite, la chapelle offre un refuge spirituel au souverain pour prier et méditer. Les murs sont richement ornés par des images de grandes figures de la foi, veillant sur les âmes qui y prient. §GLa chapelle royale accorde +1 au savoir d'état du souverain.§!;Obwohl sie nicht sehr groß ist, bietet die Kapelle einen spirituellen Zufluchtsort für einen Herrscher, um zu beten und zu meditieren. Die Wände sind kunstvoll mit Bildern von großen Persönlichkeiten des Glaubens verziert, immer über die Seelen wachend, die hier beten. §GDie Königliche Kapelle gewährt +1 Bildung für den Geistlichen Herrscher des Reiches.§!;;Aunque no es mucho en términos de espacio, la capilla ofrece al gobernante un refugio espiritual para orar y meditar, según sea necesario. Las paredes están ricamente decoradas con imágenes de las grandes figuras de la fe, siempre vigilantes sobre las almas que oran aquí. §GLa Capilla Real ofrece +1 en aprendizaje espiritual al gobernante.§!;;;;;;;;;x
